fecha_consulta,tipo_interes,valor,unidad,frecuencia,fuente
2024-05-02,Moneda Nacional (TAMN),15.83,porcentaje,anual,SBS
2024-05-02,Moneda Nacional (TAMN+1),16.83,porcentaje,anual,SBS
2024-05-02,Moneda Nacional (TAMN+2),17.83,porcentaje,anual,SBS
2024-05-02,Moneda Extranjera (TAMEX),10.73,porcentaje,anual,SBS
